cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.003E+11,0.9833,0.161820744,6.076476809,0.986621639,0.013378361,Muy alto,5,1,652,76,0.116564417,0.054960863
9.003E+11,0.9664,0.180215287,5.362475158,0.964670736,0.035329264,Muy alto,5,1,646,140,0.216718266,0.16209862
9.003E+11,0.9485,0.163951202,5.785257996,0.941420964,0.058579036,Muy alto,5,1,1248,392,0.314102564,0.266273701
9.003E+11,0.9769,0.463678821,2.106846283,0.978308871,0.021691129,Muy alto,5,1,3024,507,0.16765873,0.109618075
9.003E+11,0.8616,0.645582257,1.334609169,0.828549162,0.171450838,Alto,4,0.75,7812,4047,0.518049155,0.484441855
9.003E+11,0.8949,0.347780187,2.573177066,0.871801533,0.128198467,Alto,4,0.75,4084,1695,0.41503428,0.374243567
9.003E+11,0.9213,0.308188594,2.989403298,0.9060917,0.0939083,Alto,4,0.75,1871,692,0.369855692,0.325914595
9.003E+11,0.947,0.238216743,3.975371285,0.939472659,0.060527341,Muy alto,5,1,2425,717,0.295670103,0.246555911
9.003E+11,0.9418,0.218217567,4.315876192,0.932718535,0.067281465,Muy alto,5,1,2344,774,0.330204778,0.283498751
9.003E+11,0.9588,0.373001009,2.570502427,0.954799325,0.045200675,Muy alto,5,1,3219,907,0.281764523,0.23168067
9.003E+11,0.7225,0.22842338,3.162986209,0.647876348,0.352123652,Bajo,2,0.25,4019,3400,0.845981587,0.835241606
9.003E+11,0.8935,0.123639003,7.226683985,0.869983115,0.130016885,Alto,4,0.75,1851,905,0.488924905,0.453286719
9.003E+11,0.9704,0.035694946,27.18592118,0.969866216,0.030133784,Muy alto,5,1,1187,250,0.210614996,0.155569758
9.003E+11,0.945,0.148398531,6.367987577,0.936874919,0.063125081,Muy alto,5,1,2602,895,0.34396618,0.29821976
9.003E+11,0.9752,0.06617325,14.73707274,0.976100792,0.023899208,Muy alto,5,1,1860,381,0.20483871,0.149390681
9.003E+11,0.9675,0.102414095,9.446941865,0.966099493,0.033900507,Muy alto,5,1,1317,291,0.22095672,0.166632629
9.003E+11,0.9503,0.117950016,8.056802615,0.94375893,0.05624107,Muy alto,5,1,3352,1056,0.3150358,0.267272012
9.003E+11,0.9237,0.423097377,2.183185362,0.909208988,0.090791012,Alto,4,0.75,1916,623,0.325156576,0.278098529
