cvegeo,ids,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
0900300010179,0.9665,0.9648006234575919,0.03519937654240812,Muy alto,5.0,1.0,2049.0,458.0,0.2235236700829673,0.16937857734545778
0900300010183,0.9581,0.9538901155994284,0.04610988440057162,Muy alto,5.0,1.0,2664.0,711.0,0.2668918918918919,0.21577094335715027
0900300010198,0.9415,0.9323288738797246,0.06767112612027537,Muy alto,5.0,1.0,1595.0,517.0,0.32413793103448274,0.27700885189589114
0900300010200,0.9278,0.9145343551110533,0.0854656448889467,Alto,4.0,0.75,5393.0,1787.0,0.33135546078249584,0.28472967299031743
0900300010215,0.9457,0.9377841278088063,0.06221587219119373,Muy alto,5.0,1.0,5942.0,1674.0,0.28172332547963647,0.23163659951691382
090030001022A,0.8024,0.7516560592284712,0.24834394077152877,Medio,3.0,0.5,8548.0,5600.0,0.6551240056153487,0.6310751814858442
0900300010234,0.9833,0.9866216391739185,0.013378360826081459,Muy alto,5.0,1.0,652.0,76.0,0.1165644171779141,0.05496086312671885
0900300010249,0.9664,0.9646707364592805,0.035329263540719524,Muy alto,5.0,1.0,646.0,140.0,0.21671826625386997,0.16209862045241571
0900300010268,0.9485,0.9414209637615274,0.058579036238472604,Muy alto,5.0,1.0,1248.0,392.0,0.3141025641025641,0.2662737007564594
0900300010272,0.9769,0.9783088712819846,0.021691128718015373,Muy alto,5.0,1.0,3024.0,507.0,0.16765873015873015,0.1096180745606033
0900300010287,0.8616,0.8285491622288609,0.17145083777113912,Alto,4.0,0.75,7812.0,4047.0,0.5180491551459293,0.4844418548534233
0900300010291,0.8949,0.8718015326665801,0.12819846733341989,Alto,4.0,0.75,4084.0,1695.0,0.41503428011753185,0.374243567083582
0900300010304,0.9213,0.9060917002208079,0.09390829977919213,Alto,4.0,0.75,1871.0,692.0,0.36985569214323893,0.32591459481376367
0900300010319,0.947,0.9394726587868554,0.060527341213144625,Muy alto,5.0,1.0,2425.0,717.0,0.2956701030927835,0.24655591104791252
0900300010323,0.9418,0.9327185348746589,0.06728146512534106,Muy alto,5.0,1.0,2344.0,774.0,0.3302047781569966,0.28349875119323165
0900300010342,0.9588,0.9547993245876087,0.045200675412391256,Muy alto,5.0,1.0,3219.0,907.0,0.2817645231438335,0.23168066996842268
0900300010357,0.7225,0.6478763475776075,0.3521236524223925,Bajo,2.0,0.25,4019.0,3400.0,0.8459815874595671,0.8352416062019583
0900300010361,0.8935,0.8699831146902194,0.13001688530978062,Alto,4.0,0.75,1851.0,905.0,0.48892490545651,0.4532867187871939
0900300010376,0.9704,0.9698662163917392,0.0301337836082608,Muy alto,5.0,1.0,1187.0,250.0,0.21061499578770007,0.15556975794607608
0900300010380,0.945,0.9368749188206259,0.0631250811793741,Muy alto,5.0,1.0,2602.0,895.0,0.3439661798616449,0.2982197602198133
0900300010395,0.9752,0.9761007923106896,0.02389920768931042,Muy alto,5.0,1.0,1860.0,381.0,0.20483870967741935,0.14939068100358424
0900300010408,0.9675,0.9660994934407066,0.03390050655929344,Muy alto,5.0,1.0,1317.0,291.0,0.22095671981776766,0.16663262901578826
0900300010412,0.9503,0.943758929731134,0.056241070268866045,Muy alto,5.0,1.0,3352.0,1056.0,0.315035799522673,0.2672720123629514
0900300010427,0.9237,0.9092089881802831,0.09079101181971694,Alto,4.0,0.75,1916.0,623.0,0.32515657620041755,0.27809852902358845
0900300010431,0.8101,0.7616573580984544,0.23834264190154564,Medio,3.0,0.5,5131.0,3464.0,0.6751120639251608,0.652457043095421
0900300010446,0.9006,0.8792050915703337,0.12079490842966634,Alto,4.0,0.75,5393.0,2342.0,0.43426664194325976,0.39481703613240665
0900300010450,0.8768,0.8482919859722041,0.15170801402779588,Alto,4.0,0.75,6427.0,3224.0,0.5016337326902132,0.46688175542953075
0900300010465,0.9618,0.9586959345369528,0.04130406546304721,Muy alto,5.0,1.0,1423.0,360.0,0.25298664792691494,0.200896061690401
0900300010484,0.9654,0.9633718664761657,0.036628133523834316,Muy alto,5.0,1.0,987.0,220.0,0.22289766970618036,0.1687089248351171
0900300010499,0.9702,0.9696064423951162,0.030393557604883825,Muy alto,5.0,1.0,2378.0,540.0,0.2270815811606392,0.17318458796954203
0900300010501,0.953,0.9472658786855435,0.05273412131445654,Muy alto,5.0,1.0,3383.0,960.0,0.28377180017735737,0.23382791804413097
0900300010516,0.9056,0.8856994414859072,0.11430055851409282,Alto,4.0,0.75,1416.0,579.0,0.4088983050847458,0.3676797194623028
0900300010520,0.8531,0.817508767372386,0.18249123262761402,Medio,3.0,0.5,2588.0,1421.0,0.5490726429675425,0.5176286663468884
0900300010535,0.7355,0.6647616573580984,0.33523834264190155,Bajo,2.0,0.25,7615.0,5850.0,0.768220617202889,0.7520582234599488
090030001054A,0.9476,0.9402519807767242,0.05974801922327577,Muy alto,5.0,1.0,727.0,240.0,0.33012379642365886,0.28341212245779906
0900300010554,0.8549,0.8198467333419924,0.18015326665800757,Medio,3.0,0.5,4464.0,2497.0,0.5593637992831542,0.528637443524355
0900300010573,0.8089,0.7600987141187167,0.23990128588128334,Medio,3.0,0.5,12668.0,8308.0,0.6558257025576255,0.6318258090194983
0900300010588,0.9239,0.9094687621769061,0.09053123782309391,Alto,4.0,0.75,1737.0,669.0,0.385146804835924,0.3422719843302299
0900300010605,0.6435,0.5452656189115469,0.4547343810884531,Muy bajo,1.0,0.0,3609.0,3170.0,0.8783596564145193,0.8698774562104743
090030001061A,0.7671,0.7058059488245226,0.29419405117547737,Bajo,2.0,0.25,10377.0,8216.0,0.7917509877613954,0.7772294091301977
0900300010624,0.7189,0.6432004156383946,0.3567995843616054,Bajo,2.0,0.25,9690.0,8244.0,0.8507739938080495,0.8403681956751242
