ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,79,Llanito Redondo,"99Â°20'04.332"" W","19Â°19'21.032"" N",2973.0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,9998,Localidades de una vivienda,,,,22,13,9,1,1,0,21,12,9,18,10,8,14,8,6,12,7,5,12,7,5,3,2,1,4,2,2,6,3,3,2,1,1,0,0,0,1,1,0,6,0,0,0,69.23,10,12,0,8,3,5,6,5,1,8,4,18,3,4,0,0,12,1,0,0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,9999,Localidades de dos viviendas,,,,21,9,12,0,0,0,21,9,12,21,9,12,18,8,10,18,8,10,16,8,8,1,0,1,2,1,1,2,1,1,0,0,0,2,0,2,6,4,2,7,1,0,1,133.33,3,17,1,14,5,9,4,3,1,14,11,10,5,0,0,0,0,0,5,0
9,Ciudad de MÃ©xico,5,Gustavo A. Madero,0,Total del Municipio,,,,1173351,609477,563874,35261,17306,17955,1137856,592051,545805,1109855,578313,531542,1007795,527969,479826,960772,504545,456227,911482,480252,431230,42615,20950,21665,87446,43132,44314,106549,52771,53778,47023,23424,23599,49290,24293,24997,126620,61797,64823,306027,203469,116135,87334,92.52,212345,819397,141375,618184,274269,343915,387814,252835,134979,603239,300902,871522,555494,137485,2052,7130,146273,2146,20306,15673
9,Ciudad de MÃ©xico,5,Gustavo A. Madero,1,Gustavo A. Madero,"99Â°06'48.495"" W","19Â°28'58.603"" N",2230.0,1173351,609477,563874,35261,17306,17955,1137856,592051,545805,1109855,578313,531542,1007795,527969,479826,960772,504545,456227,911482,480252,431230,42615,20950,21665,87446,43132,44314,106549,52771,53778,47023,23424,23599,49290,24293,24997,126620,61797,64823,306027,203469,116135,87334,92.52,212345,819397,141375,618184,274269,343915,387814,252835,134979,603239,300902,871522,555494,137485,2052,7130,146273,2146,20306,15673
9,Ciudad de MÃ©xico,6,Iztacalco,0,Total del Municipio,,,,404695,212343,192352,11527,5631,5896,392990,206622,186368,384051,202213,181838,350684,185694,164990,335205,178048,157157,319021,170195,148826,13523,6625,6898,28783,14303,14480,35033,17376,17657,15479,7646,7833,16184,7853,8331,42216,20935,21281,108051,70907,40949,29958,90.59,69312,286131,49074,224915,102951,121964,125126,82460,42666,219405,110116,294078,183462,57405,553,2609,43288,1721,8563,2690
9,Ciudad de MÃ©xico,6,Iztacalco,1,Iztacalco,"99Â°05'51.406"" W","19Â°23'45.245"" N",2230.0,404695,212343,192352,11527,5631,5896,392990,206622,186368,384051,202213,181838,350684,185694,164990,335205,178048,157157,319021,170195,148826,13523,6625,6898,28783,14303,14480,35033,17376,17657,15479,7646,7833,16184,7853,8331,42216,20935,21281,108051,70907,40949,29958,90.59,69312,286131,49074,224915,102951,121964,125126,82460,42666,219405,110116,294078,183462,57405,553,2609,43288,1721,8563,2690
9,Ciudad de MÃ©xico,7,Iztapalapa,0,Total del Municipio,,,,1835486,947835,887651,57907,28569,29338,1777184,919066,858118,1731943,896557,835386,1550672,807550,743122,1468256,766847,701409,1383459,725294,658165,69475,34456,35019,157037,77060,79977,189095,92969,96126,82416,40703,41713,84797,41553,43244,209136,103444,105692,502375,262064,146769,115295,93.65,366835,1293944,174312,984791,431714,553077,563273,374587,188686,963957,594796,1239534,682711,198029,3023,16218,302911,3418,25250,24076
9,Ciudad de MÃ©xico,7,Iztapalapa,1,Iztapalapa,"99Â°05'33.441"" W","19Â°21'32.414"" N",2239.0,1835486,947835,887651,57907,28569,29338,1777184,919066,858118,1731943,896557,835386,1550672,807550,743122,1468256,766847,701409,1383459,725294,658165,69475,34456,35019,157037,77060,79977,189095,92969,96126,82416,40703,41713,84797,41553,43244,209136,103444,105692,502375,262064,146769,115295,93.65,366835,1293944,174312,984791,431714,553077,563273,374587,188686,963957,594796,1239534,682711,198029,3023,16218,302911,3418,25250,24076
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,0,Total del Municipio,,,,247622,129335,118287,7221,3636,3585,240358,125675,114683,234567,122811,111756,211148,111268,99880,200201,105789,94412,189047,100355,88692,8941,4382,4559,20269,10025,10244,24656,12330,12326,10947,5479,5468,11154,5434,5720,27704,13771,13933,67328,38073,21646,16427,91.46,47378,174135,26066,132898,60057,72841,77368,50872,26496,129358,68100,178961,105988,28409,162,2075,32890,290,13685,1213
