Clave entidad,Entidad,Clave municipio,Municipio,Clave localidad,Localidad,Longitud,Latitud,Altitud,Población total,Población femenina,Población masculina,Pob. 3 años y más,Pob. 3 años y más (F),Pob. 3 años y más (M),Pob. 18 años y más,Pob. 18 años y más (F),Pob. 18 años y más (M),Relación hombres-mujeres,Pob. económicamente activa,Pob. económicamente activa (F),Pob. económicamente activa (M),Pob. económicamente inactiva,Pob. económicamente inactiva (F),Pob. económicamente inactiva (M),Pob. ocupada,Sin derechohabiencia,Con derechohabiencia,Derechohabiente IMSS,Derechohabiente ISSSTE federal,Derechohabiente ISSSTE estatal,Afiliado Seguro Popular/Bienestar,Seguro Popular o Médico Siglo XXI,Derechohabiente IMSS-Bienestar,Afiliado institución privada,Afiliado otra institución,Niños,Niños (F),Niños (M),Jóvenes,Jóvenes (F),Jóvenes (M),Adultos,Adultos (F),Adultos (M),Tercera edad,Tercera edad (F),Tercera edad (M)
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,108,RincÃ³n Eslava,"99Â°15'03.870"" W","19Â°17'22.894"" N",2554.0,51,21.0,30.0,47.0,20.0,27.0,36.0,16.0,20.0,142.86,29.0,10.0,19.0,13.0,8.0,5.0,29.0,24.0,27.0,10.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,3.0,6.0,6.0,2.0,4.0,32.0,14.0,18.0,4.0,2.0,2.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,111,Rancho Chichicaspa,"99Â°14'45.284"" W","19Â°16'35.681"" N",2594.0,29,12.0,17.0,26.0,11.0,15.0,21.0,7.0,14.0,141.67,17.0,3.0,14.0,7.0,6.0,1.0,17.0,11.0,18.0,3.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,3.0,2.0,3.0,2.0,1.0,15.0,5.0,10.0,6.0,2.0,4.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,112,Paraje Chichicaspa,"99Â°14'59.943"" W","19Â°16'32.836"" N",2597.0,119,51.0,68.0,118.0,51.0,67.0,84.0,39.0,45.0,133.33,57.0,19.0,38.0,41.0,25.0,16.0,57.0,67.0,52.0,16.0,21.0,0.0,0.0,19.0,0.0,0.0,1.0,21.0,7.0,14.0,14.0,5.0,9.0,75.0,35.0,40.0,9.0,4.0,5.0
9,Ciudad de MÃ©xico,9,Milpa Alta,1,Villa Milpa Alta,"99Â°01'24.139"" W","19Â°11'28.498"" N",2429.0,18213,9350.0,8863.0,17598.0,9045.0,8553.0,13439.0,7040.0,6399.0,94.79,10567.0,4759.0,5808.0,4568.0,3095.0,1473.0,10456.0,7821.0,10375.0,1841.0,3132.0,15.0,96.0,4956.0,38.0,170.0,181.0,3026.0,1461.0,1565.0,1748.0,849.0,899.0,10856.0,5635.0,5221.0,2583.0,1405.0,1178.0
9,Ciudad de MÃ©xico,9,Milpa Alta,11,San Antonio TecÃ³mitl,"98Â°59'37.384"" W","19Â°13'03.134"" N",2257.0,27768,14290.0,13478.0,26762.0,13786.0,12976.0,20039.0,10489.0,9550.0,94.32,14944.0,6510.0,8434.0,7907.0,5371.0,2536.0,14719.0,8364.0,19398.0,6192.0,4589.0,35.0,426.0,7890.0,42.0,276.0,215.0,4885.0,2396.0,2489.0,2844.0,1405.0,1439.0,16946.0,8817.0,8129.0,3093.0,1672.0,1421.0
9,Ciudad de MÃ©xico,9,Milpa Alta,15,San BartolomÃ© Xicomulco,"99Â°04'04.413"" W","19Â°12'24.334"" N",2593.0,4933,2582.0,2351.0,4774.0,2495.0,2279.0,3556.0,1876.0,1680.0,91.05,2409.0,1042.0,1367.0,1668.0,1083.0,585.0,2347.0,1148.0,3785.0,1018.0,762.0,40.0,25.0,1896.0,5.0,34.0,37.0,847.0,450.0,397.0,530.0,256.0,274.0,2942.0,1551.0,1391.0,614.0,325.0,289.0
9,Ciudad de MÃ©xico,9,Milpa Alta,17,San Francisco Tecoxpa,"99Â°00'22.633"" W","19Â°11'58.014"" N",2308.0,13919,7113.0,6806.0,13397.0,6869.0,6528.0,9868.0,5129.0,4739.0,95.68,8150.0,3657.0,4493.0,3172.0,2187.0,985.0,8060.0,4051.0,9850.0,1498.0,3019.0,18.0,79.0,5141.0,15.0,70.0,93.0,2572.0,1255.0,1317.0,1472.0,725.0,747.0,8438.0,4368.0,4070.0,1430.0,761.0,669.0
9,Ciudad de MÃ©xico,9,Milpa Alta,24,San Pablo Oztotepec,"99Â°04'23.337"" W","19Â°11'14.226"" N",2715.0,17715,9204.0,8511.0,16993.0,8828.0,8165.0,12334.0,6457.0,5877.0,92.47,9102.0,3895.0,5207.0,5183.0,3552.0,1631.0,8931.0,3938.0,13774.0,4201.0,2503.0,25.0,363.0,6537.0,37.0,155.0,125.0,3408.0,1746.0,1662.0,1973.0,1001.0,972.0,10431.0,5440.0,4991.0,1903.0,1017.0,886.0
9,Ciudad de MÃ©xico,9,Milpa Alta,29,San Pedro Atocpan,"99Â°02'57.879"" W","19Â°12'05.894"" N",2447.0,9234,4705.0,4529.0,8860.0,4517.0,4343.0,6675.0,3443.0,3232.0,96.26,5542.0,2512.0,3030.0,1985.0,1336.0,649.0,5497.0,3868.0,5357.0,821.0,596.0,4.0,29.0,3846.0,5.0,70.0,16.0,1678.0,843.0,835.0,881.0,419.0,462.0,5520.0,2823.0,2697.0,1155.0,620.0,535.0
9,Ciudad de MÃ©xico,9,Milpa Alta,33,San Salvador Cuauhtenco,"99Â°05'23.835"" W","19Â°11'31.158"" N",2753.0,16847,8665.0,8182.0,16194.0,8341.0,7853.0,11895.0,6212.0,5683.0,94.43,8879.0,3762.0,5117.0,4770.0,3335.0,1435.0,8749.0,4560.0,12277.0,3561.0,2708.0,3.0,397.0,5446.0,29.0,231.0,56.0,3163.0,1550.0,1613.0,1782.0,900.0,882.0,10257.0,5337.0,4920.0,1638.0,875.0,763.0
